id,stem,surface_kind,xres,yres,xreal_m,z_range_m,clean_rms_m,degraded_rms_m,has_real_periodicity,n_artifacts,tilt,bow,row_offsets,scars,spikes,hum,line_noise,bow_amp_m,hum_amp_m,hum_angle_deg,hum_period_px,line_noise_sigma_m,n_particles,n_scars,n_spikes,n_terraces,psd_beta,row_offset_sigma_m,scar_amp_m,spike_amp_m,tilt_x_m,tilt_y_m,true_angle_deg,true_period_px
65,00065_rough,rough,256,256,2e-05,3.6158542794996405e-07,6.878590141622314e-08,1.277805879207366e-07,0,2,0,1,1,0,0,0,0,-1.335171961726779e-06,,,,,,,,,3.399,1.6319993299920653e-08,,,,,,
66,00066_rough,rough,256,256,5e-05,7.866301685685668e-07,1.3863857430309924e-07,4.1544172726330044e-07,0,3,1,0,1,1,0,0,0,,,,,,,8,,,3.303,1.1892652769482779e-07,1.3111831992549077e-07,,-8.985062582463406e-07,7.538546998670113e-07,,
67,00067_particles,particles,256,256,1e-05,1.2182337696090402e-06,2.5819677137909463e-07,3.496270277825066e-07,0,5,0,0,1,1,1,1,1,,2.2671423033415012e-07,27.614,18.504,1.3200476388028257e-08,59,2,26,,,1.6962805669429926e-07,5.905154205116681e-07,1.5265763468057893e-06,,,,
68,00068_lattice,lattice,256,256,5e-06,4.680873110517363e-07,1.1704377728365501e-07,1.575778034689082e-07,1,3,1,0,0,0,1,0,1,,,,,1.753806595831313e-08,,,34,,,,,2.1312624959604717e-06,-1.4778029804053319e-07,2.820632902673847e-07,14.75,18.79
69,00069_lattice,lattice,256,256,5e-05,9.479887578753301e-07,2.3701743798982034e-07,5.293485368568352e-07,1,5,0,1,1,1,0,1,1,-3.19055357113174e-06,3.6250760116843395e-07,46.01,28.887,9.66010246552285e-08,,4,,,,1.492619804536276e-07,1.0947471845881205e-06,,,,28.19,13.31
70,00070_terraces,terraces,256,256,5e-05,2.2771112985632732e-07,5.566128367324062e-08,9.81105056896368e-08,0,2,0,1,0,0,0,0,1,8.076707353366014e-07,,,,5.068092960465778e-09,,,,2,,,,,,,,
71,00071_particles,particles,256,256,1e-05,2.089221897443691e-07,3.843991753787618e-08,1.4260692463683298e-07,0,4,1,0,1,0,0,1,1,,7.043319749025954e-08,114.646,5.028,7.126644213738357e-09,32,,,,,5.111332301759384e-08,,,-2.9567866718666078e-08,4.18015885175498e-07,,
72,00072_particles,particles,256,256,5e-05,3.9376036305338864e-07,6.590335685008904e-08,1.383022045290696e-07,0,2,0,0,0,0,1,1,0,,1.632764978568663e-07,122.556,24.4,,48,,3,,,,,1.870506930265574e-06,,,,
73,00073_particles,particles,256,256,5e-06,1.2612660328833365e-06,2.5458170875621264e-07,6.190854616712194e-07,0,4,0,0,1,0,1,1,1,,6.264231542560344e-07,144.793,18.64,6.320840176292517e-08,45,,15,,,2.8063817204833047e-07,,5.73501123636213e-06,,,,
74,00074_terraces,terraces,256,256,2e-05,7.570969751315214e-07,1.877484989717543e-07,3.3974156469159934e-07,0,3,0,0,0,1,1,1,0,,3.214456434271712e-07,161.965,29.742,,,11,20,2,,,8.948144365729253e-07,3.2589545189415085e-06,,,,
75,00075_smooth,smooth,256,256,5e-05,7.757864766170344e-07,1.8192693349054106e-07,3.6236403260138554e-07,0,3,0,1,0,0,0,1,1,2.855517436491852e-06,3.3897204252902116e-08,85.713,9.58,5.800852109291496e-08,,,,,,,,,,,,
76,00076_smooth,smooth,256,256,5e-05,9.32237497383249e-07,1.984861542700838e-07,9.567757017423396e-07,0,2,1,0,0,0,0,1,0,,3.3093682930016673e-07,17.257,25.65,,,,,,,,,,-2.358826521687894e-06,-1.2662468753053837e-06,,
77,00077_terraces,terraces,256,256,5e-05,1.1094437351732562e-06,1.935388410724105e-07,4.3521495311268827e-07,0,2,0,0,0,0,1,1,0,,5.120062146410214e-07,83.355,3.316,,,,30,4,,,,4.315574688116096e-06,,,,
78,00078_grating,grating,256,256,5e-06,1.227001465269103e-06,5.388263647538958e-07,1.13554084687068e-06,1,5,1,1,1,1,1,0,0,4.844434158533314e-06,,,,,,2,29,,,3.508577792058766e-07,7.95630722643584e-07,7.1814706152467555e-06,2.6005863884193786e-06,7.700080718249254e-07,51.71,29.22
79,00079_grating,grating,256,256,5e-05,9.833298610108765e-07,4.250529815318792e-07,6.506173995861718e-07,1,4,0,1,0,1,0,1,1,3.641293572784332e-06,3.840438014800542e-07,3.278,16.056,1.0072036631833405e-07,,12,,,,,2.1270682297420064e-07,,,,37.21,28.28
80,00080_lattice,lattice,256,256,2e-05,7.644581176442428e-07,1.9110505928743506e-07,5.372261541208567e-07,1,2,1,0,0,0,0,1,0,,1.3055800500083535e-07,47.183,23.611,,,,,,,,,,1.6962565306891043e-06,2.063462463186491e-07,17.57,13.88
81,00081_grating,grating,256,256,1e-05,4.544441338159743e-07,1.991218535605578e-07,2.136420447853995e-07,1,1,0,0,0,0,0,1,0,,1.0928303070204403e-07,54.625,24.465,,,,,,,,,,,,96.69,16.99
82,00082_particles,particles,256,256,1e-05,1.0086024501632213e-06,2.063166176144142e-07,7.419263941794253e-07,0,3,1,1,0,0,0,0,1,2.884887323748854e-06,,,,6.969785565212254e-08,41,,,,,,,,1.8181595956241732e-06,1.3907057010996866e-06,,
83,00083_lattice,lattice,256,256,5e-06,4.4156328610277877e-07,1.1038859534994815e-07,1.1932029932500708e-07,1,1,0,1,0,0,0,0,0,-4.294872090778847e-07,,,,,,,,,,,,,,,71.73,22.05
84,00084_terraces,terraces,256,256,5e-05,9.43854319550591e-08,1.55755738621158e-08,3.9851919577952645e-08,0,4,1,1,1,0,1,0,0,-2.399398499080365e-07,,,,,,,2,4,,2.4978320522031766e-09,,3.748728308366017e-07,5.751819855487934e-08,9.162154385383701e-08,,
85,00085_terraces,terraces,256,256,2e-05,1.085763437373072e-06,2.6552237681692823e-07,4.81887057994803e-07,0,1,0,1,0,0,0,0,0,-3.928243845296403e-06,,,,,,,,2,,,,,,,,
86,00086_grating,grating,256,256,5e-05,1.2577247571231014e-06,5.468220382492051e-07,7.388800748725713e-07,1,5,1,0,0,1,1,1,1,,4.0839487345407707e-08,168.957,18.818,1.708540994247165e-07,,10,39,,,,9.751768626346197e-07,6.826685666436545e-06,1.2081247868913006e-06,-7.59477191763508e-07,72.91,34.84
87,00087_terraces,terraces,256,256,2e-05,7.355948070829377e-07,1.1052575918582722e-07,2.0637124188074638e-07,0,2,1,0,0,0,0,1,0,,9.402327904188072e-08,129.446,16.519,,,,,6,,,,,-2.5424324531475863e-09,6.110237268707995e-07,,
88,00088_particles,particles,256,256,5e-06,4.7364255725529246e-07,7.441272454320325e-08,1.7811840602637917e-07,0,4,0,1,0,1,1,1,0,1.365332970338314e-06,1.0665401734378138e-07,88.185,8.278,,27,11,17,,,,4.5359407016111633e-07,1.3999525436076054e-06,,,,
89,00089_grating,grating,256,256,1e-05,1.3730470968596159e-07,6.061060991292812e-08,8.013104410473527e-08,1,2,0,1,1,0,0,0,0,3.1241520489320287e-07,,,,,,,,,,3.6209708589918694e-08,,,,,123.41,22.52
90,00090_grating,grating,256,256,5e-05,1.3866952497780493e-06,5.960373995153992e-07,9.662726613993648e-07,1,4,0,1,1,1,0,1,0,-4.774995810629107e-06,4.278531635132207e-07,99.045,24.966,,,3,,,,4.5539926606004685e-07,1.1623716306860544e-06,,,,164.24,32.2
91,00091_terraces,terraces,256,256,2e-05,1.8277805837944836e-07,3.18871833970787e-08,6.716976664426165e-08,0,3,0,1,0,1,0,1,0,4.434562762597389e-07,6.225738333182152e-08,11.933,14.171,,,5,,5,,,9.874751422075132e-08,,,,,
92,00092_particles,particles,256,256,2e-05,8.539362395763905e-07,1.5580678028551435e-07,1.5720550737480334e-07,0,1,0,0,0,0,1,0,0,,,,,,55,,14,,,,,1.399666783986557e-06,,,,
93,00093_lattice,lattice,256,256,5e-06,5.466983036175092e-07,1.3668418945498132e-07,2.5698698589215513e-07,1,4,0,1,1,1,1,0,0,1.94076639181519e-06,,,,,,2,32,,,3.400075112829766e-08,9.343744294757146e-08,3.188910373244459e-06,,,72.16,14.45
94,00094_grating,grating,256,256,5e-06,1.1070749929050745e-06,4.904086083258062e-07,5.133373241166134e-07,1,1,0,0,0,0,0,0,1,,,,,1.507184430954541e-07,,,,,,,,,,,68.72,14.43
95,00095_smooth,smooth,256,256,5e-05,2.6269127736355745e-07,6.28484269289665e-08,6.386996722088148e-08,0,2,0,0,0,0,0,1,1,,9.634979688448714e-09,175.256,18.639,9.314899322343874e-09,,,,,,,,,,,,
96,00096_smooth,smooth,256,256,5e-06,4.3740746129517626e-07,9.640010392838953e-08,9.992079100815653e-08,0,2,0,0,1,0,0,0,1,,,,,2.3607987061886488e-08,,,,,,9.846519112114589e-09,,,,,,
97,00097_smooth,smooth,256,256,1e-05,8.24078430742344e-07,1.8372979030259683e-07,4.103747343607539e-07,0,4,1,1,1,0,0,1,0,-1.6390579446046854e-06,1.348391457696597e-07,67.093,19.39,,,,,,,1.2673802427663216e-07,,,-3.5123020904411037e-07,1.7827036412394097e-06,,
98,00098_grating,grating,256,256,5e-05,1.381913049090477e-06,6.071287201895178e-07,1.4025518066905049e-06,1,6,1,1,1,1,1,1,0,1.8000896147374482e-06,5.349280153112013e-07,42.392,22.614,,,10,36,,,1.7964214286005722e-07,7.274302432468131e-07,7.775369600716176e-06,3.991552506222033e-06,3.6734880590235343e-07,161.16,11.05
99,00099_grating,grating,256,256,5e-06,9.094569048429773e-07,4.005361880133802e-07,7.385429675848411e-07,1,5,1,0,1,1,1,1,0,,1.3595266629795586e-07,151.921,4.874,,,3,21,,,7.50471198952783e-08,2.938450249463093e-07,3.4616817367740264e-06,-8.313760314333652e-07,-1.9278997720323963e-06,18.6,33.9
